pickd_name,matched_by,orders,fsm_candidates,fsm_recipient_ids_and_addresses
MAD DOG BICYCLES,name,4,5,"1008101 (561 DELAWARE AVENUE, DELMAR NY 12054) | MAD DOG BICYCLES (561 DELAWARE AVENUE, DELMAR NY 12054) | MAD DOG (561 DELAWARE AVE, DELMAR NY 12054) | MAD DOG  (561 DELAWARE AVE, DELMAR NY 12054) | MAD DOG 561 (561 DELAWARE AVENUE, DELMAR NY 12054)"
WANA BIKE,name,4,3,"WANNA (200 WEST MAIN STREET, WAUNAKEE WI 53597) | 771300 (200 W. MAIN STREET, WAUNAKEE WI 53597) | WANA BIKE (200 W. MAIN STREET, WAUNAKEE WI 53597)"
RODGERS SKI & SPORT,name,3,6,"RODGER (332 ROUTE 1, SCARBOROUGH ME 04074) | 915900 (5 RAILROAD STREET, LINCOLN NH 03251) | 915901 (332 ROUTE 1, SCARBOROUGH ME 04074) | RODGERS SKI & SPORT (332 ROUTE 1, SCARBOROUGH ME 04074) | RODGERS SKI (5 RAILROAD STREET, LINCOLN NH 03251) | 915902 (5 RAILROAD STREET, LINCOLN NH 03251)"
BAER WHEELS,name,3,3,"BAER (3510 NORTH HIGH STREET, COLUMBUS OH 43214) | 66800 (3510 NORTH HIGH STREET, COLUMBUS OH 43214) | BAER WHEELS (3510 NORTH HIGH STREET, COLUMBUS OH 43214)"
HEARTLAND BIKES,name,3,4,"HEARTHLAND BIKES (4730 witmer ln, DAYTON VA 22821) | HEARTLAND BIKES (4730 WITMER LANE, DAYTON VA 22821) | 762601 (4431 HONEY RUN ROAD, DAYTON VA 22821) | 762600 (4730 WITMER LN, DAYTON VA 22821)"
SUN CITY CYCLERY & SKATES,name,3,2,"1168200 (235 EAST MAIN STREET, SUN PRAIRIE WI 53590) | SUN CITY CYCLERY & SKATES (235 EAST MAIN STREET, SUN PRAIRIE WI 53590)"
L & J CYCLE LLC,name,3,2,"619800 (25363 COUNTRY ROAD 54  ROUTE 1, NAPPANEE IN 46550) | L & J CYCLE LLC (25363 COUNTRY ROAD 54, NAPPANEE IN 46550)"
DEDHAM BIKE,name,3,4,"296500 (403 WASHINGTON STREET, DEDHAM MA 02026) | DEDHAM (403 WASHINGTON STREET, DEDHAM MA 02026) | 29650 (403 WASHINGTON STREET, DEDHAM MA 02026) | DEDHAM BIKE (403 WASHINGTON STREET, DEDHAM MA 02026)"
DOWNTOWN BICYCLES,name,3,2,"DOWNTOWN BICYCLES (2571 E. SUNRISE BLVD., FORT LAUDERDALE FL 33304) | DOWNTOWN BICYCLES OAKLAND (518 E OAKLAND PARK BLVD, OAKLAND PARK FL 33334)"
TWIN PORTS CYCLERY,name,3,2,"1070100 (2914 WEST 3RD STREET, DULUTH MN 55806) | TWIN PORTS (2914 W. 3RD STREET, DULUTH MN 55806)"
MAKLIN BIKE SHOP,name,3,2,"MAKLIN (30235 REDWING AVE, SHAFER MN 55074) | MAKLIN BIKE SHOP (30235 REDWING AVENUE, SHAFER MN 55074)"
SENSENIG'S BIKE SHOP,address,3,3,"SENSENIG (1033 RIDGE ROAD, SHIPPENSBURG PA 17257) | 966200 (1033 RIDGE ROAD, SHIPPENSBURG PA 17257) | SENSENIGS BIKE SHOP (1033 RIDGE ROAD, SHIPPENSBURG PA 17257)"
A & M CYCLERY,name,3,2,"139501 (4284 ARSENAL ST, ST. LOUIS MO 63116) | A&M CYCLERY (4284 ARSENAL ST, ST LOUIS MO 63116)"
ISLE BICYCLES,name,3,5,"ISLE PO BOX 54 (PO BOX 54, OCEAN VIEW NJ 08230) | ISLE BICYCLES (3500 BOARDWALK, SEA ISLE CITY NJ 08243) | 86801 (3500 BROADWALK STE 20A, SEA ISLE CITY NJ 08243) | ISLE (3500 BOARDWALK, STE 20A, SEA ISLE CITY NJ 08243) | ISLE BICYCLE (3500 BOARDWALK, SEA ISLE CITY NJ 08243)"
EPIC CYCLES,name,3,8,"575000 (102 SUTTON AVE, BLACK MOUNTAIN NC 28711) | EPIC CYCLES ASHVILLE (1240 BREVARD ROAD, ASHEVILLE NC 28806) | EPIC CYCLES HENDERSONVILL (779 NORTH CHURCH STREET, HENDERSONVILLE NC 28792) | 575002 (1240 BREVARD AVE, ASHEVILLE NC 28806) | EPIC CYCLES   (102 SUTTON AVE, BLACK MOUNTAIN NC 28711) | 575001 (779 NORTH CHURCH STREET, HENDERSONVILLE NC 28792)"
BATTLE ROAD BIKES,name,3,2,"257500 (145 MASSACHUESETTS AVE, LEXINGTON MA 02421) | BATTLE ROAD BIKES (145 MASSACHUSETTS AVE, LEXINGTON MA 02421)"
TREAD BIKE SHOP,name,3,2,"1063400 (250 DYKMAN STREET, NEW YORK NY 10034) | 1061200 (250 DYKMAN STREET, NEW YORK NY 10034)"
BEETON'S CYCLERY,name,3,3,"752800 (1219 MAIN STREET, NIAGARA FALLS NY 14301) | BEETON (1219 MAIN STREET, NIAGARA FALLS NY 14301) | BEETON'S CYCLERY (1219 MAIN STREET, NIAGARA FALLS NY 14301)"
SEAGREEN BICYCLE,name,3,4,"955301 (54 BALTIMORE AVENUE, REHOBOTH BEACH DE 19971) | SEAGREEN BICYCLE  (209 MONROE AVE, LEWES DE 19958) | 955300 (209 MONROE AVENUE, LEWES DE 19958) | SEAGREEN BICYCLE (54 BALTIMORE AVENUE, REHOBOTH BEACH DE 19971)"
THE BICYCLE SHOP,name,3,3,"6949 (1035 WEST NORTHERN LIGHTS BLVD, ANCHORAGE AK 99503) | THE BICYCLE SHOP (909 NORTH MARINE BLVD, JACKSONVILLE NC 28540) | THE BICYCLE SHOP 909 (909 NORTH MARINE BLVD, JACKSONVILLE NC 28540)"
KEN'S BIKE SHOP LLC,name,3,3,"KEN'S BIKE SHOP LLC (2750 REYNOLDA RD, WINSTON SALEM NC 27106) | KEN'S BIKE SHOP (2750 REYNOLDA RD, WINSTON SALEM NC 27106) | 707900 (2750 REYNOLDA RD, WINSTON SALEM NC 27106)"
GREENVILLE BICYCLE COMPANY,name,3,3,"728900 (802 CLARK STREET, GREENVILLE NC 27834) | GREENVILLE BICYCLE (802 CLARK STREET, GREENVILLE NC 27834) | GREENVILLE BICYCLE COMPAN (802 CLARK STREET, GREENVILLE NC 27834)"
ROCKY POINT CYCLE,name,3,3,"ROCKY POINT CYCLE (669 ROUTE 25A, ROCKY POINT NY 11778) | ROCKY POINT (669 ROUTE 25A, ROCKY POINT NY 11778) | 814500 (669 ROUTE 25A, ROCKY POINT NY 11778)"
ALL ABOUT BIKES LLC,name,3,5,"ALL ABOUT 4904 (4904 POPLAR AVE, MEMPHIS TN 38117) | ALL ABOUT BIKES (4904 POPLAR AVENUE, MEMPHIS TN 38117) | ALL ABOUT (621 S. MENDENHALL, MEMPHIS TN 38117) | ALL ABOUT BIKES LLC (4904 POPLAR AVENUE, MEMPHIS TN 38117) | 770900 (4904 POPLAR AVE, MEMPHIS TN 38117)"
SALTY'S BIKE&BEACH RENTALS LLC,name,3,3,"948501 (142A ARROW ROAD, HILTON HEAD ISLAND SC 29928) | SALTY'S BIKE&BEACH RENTAL (142A ARROW ROAD, HILTON HEAD SC 29928) | SALTY'S  (142A ARROW ROAD, HILTON HEAD ISLAND SC 29928)"
WALTERS BICYCLE & PEDEGO LBI,zip+token,3,3,"625500 (1117 CENTRAL AVE, SHIP BOTTOM NJ 08008) | WALTERS BICYCLES & PEDEGO (418 LONG BEACH BLVD, SHIP BOTTOM NJ 08008) | 995000 (418 LONG BEACH BLVD, SHIP BOTTOM NJ 08008)"
GOLDEN LEGS INC.,name,3,5,"GOLDEN LEGS INC. 1155 (1155 MARSH STREET, VALPARAISO IN 46385) | GOLDEN LEG, IN (1155 MARSH STREET, VALPARAISO IN 46385) | GOLDEN LEGS  (1155 MARSH STREET, VALPARAISO IN 46385) | GOLDEN LEGS INC. (53 WILLOW STREET, VALPARAISO IN 46383) | 485401 (1155 MARSH STREET SUITE E, VALPARAISO IN 46385)"
MANASQUAN BIKE SHOP,name,3,5,"678000 (128 Main Street, Manasquan NJ 08736) | 0678000 (128 MAIN STREET, MANASQUAN NJ 08736) | MANASQUAN BIKE SHOP (128 MAIN ST, MANASQUAN NJ 08736) | MANASQ 128 (128 MAIN STREET, MANASQUAN NJ 08736) | MANASQUAN (128 MAIN STREET, MANASQUAN NJ 08736)"
MARSH MELLOWS,name,3,2,"MARSH MELLOWS (2401 N MOUNT OLIVE STREET, SILOAM SPRINGS AR 72761) | 689000 (2401 N MOUNT OLIVE ST, SILOAM SPRINGS AR 72761)"
HAMPSHIRE BICYCLE EXCHANGE,name,3,3,"761300 (65 UNIVERSITY DRIVE, AMHERST MA 01002) | HAMPSHIRE BICYCLE EXCHANG (65 UNIVERSITY DRIVE, AMHERST MA 01002) | HAMPSHIRE (65 UNIVERSITY DRIVE, AMHERST MA 01002)"
BICYCLES ETC,name,3,2,"BICYCLES ETC (6460 COLLEGE ROAD, LISLE IL 60532) | 672200 (6460 COLLEGE ROAD, LISLE IL 60532)"
WALLY'S BICYCLE WORKS,name,3,2,"WALLY'S BICYCLE WORKS (209 BONETTI DRIVE, SAN LUIS OBISPO CA 93401) | WALLY'S BICYCLE (209 BONETTI DRIVE, SAN LUIS OBISPO CA 93401)"
50 SOUTH SURF SHOP,name,3,3,"50 SOUTH (306 S. TOPSAIL DR., SURF CITY NC 28445) | 227400 (306 S. TOPSAIL DR, SURF CITY NC 28445) | 50 SOUTH SURF SHOP (306 S. TOPSAIL DR, SURF CITY NC 28445)"
THE BICYCLE RACK,name,3,2,"THE BICYCLE RACK (683 ROUTE 33, HIGHTSTOWN NJ 08520) | 134600 (683 ROUTE 33, HIGHTSTOWN NJ 08520)"
ADVENTURE EARTH,name,3,3,"7535 (2039 AIRPORT BLVD, MOBILE AL 36695) | ADVENTURE EARTH (2039 AIRPORT BLVD, MOBILE AL 36695) | 752300 (2039 AIRPORT BLVD, MOBILE AL 36695)"
ALAN'S BICYCLE CENTER,name,3,2,"254600 (2020 COMMERCE AVE, VERO BEACH FL 32960) | ALAN'S BICYCLE CENTER (2020 COMMERCE AVE, VERO BEACH FL 32960)"
DALLAS BIKE WORKS,name,3,4,"DALLAS (4875 WEST LAWTHER DRIVE, DALLAS TX 75214) | 1180400 (4875 WEST LAWTHER DRIVE, DALLAS TX 75214) | DALLAS BIKE WORKS (4875 WEST LAWTHER DRIVE, DALLAS TX 75214) | DALLAS 821 (821 W. DAVIS STREET, DALLAS TX 75208)"
SPORTS BASEMENT,name,3,13,"SPORTS BASE 100 (100 VINTAGE WAY, NOVATO CA 94945) | 1001211 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT 202 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT CAMPBELL (1875 S. BASCOM AVE, CAMPBELL CA 95008) | SPORTS BASEMENT SUNNY (1177 KERN AVENUE, SUNNYVALE CA 94085) | SPORTS BASEMENT  (1881 YGNACIO VALLEY ROAD, WALNUT CREEK CA 94598)"
BIKE KING CYCLING,name,3,2,"BIKE KING CYCLING (1247 WOODBOURNE ROAD, LEVITTOWN PA 19057) | 1380 (1247 WOODBOURNE RD, LEVITTOWN PA 19057)"
JOY MACHINES BIKE SHOP,name,3,2,"JOY MACHINES BIKE SHOP (2605 DETROIT AVENUE, CLEVELAND OH 44113) | JOY MACHINE (2605 DETROIT AVENUE, CLEVELAND OH 44113)"
Sports addiction,name,3,2,"SPORTSADDICTIO (70 PENNINGTON DRIVE, BLUFFTON SC 29910) | 940500 (200 OKATIE VILLAGE SUITE 101, BLUFFTON SC 29909)"
"CENTRAL CYCLES, LLC",name,3,3,"CENTRAL CYCLES (9434 200TH AVE, HOLTON MI 49425) | 1001500 (9434 200TH AVE, HOLTON MI 49425) | CENTRAL CYCLES, LLC (9434 200TH AVE, HOLTON MI 49425)"
PHOENIX CYCLERY,name,3,3,"1019100 (1532 EAST MULBERRY STREET, FORT COLLINS CO 80524) | 101900 (1532 E.Mulberry Street, Fort Collins CO 80524) | PHOENIX CYCLERY (1532 E.MULBERRY STREET, FORT COLLINS CO 80524)"
HENRY'S BIKES,name,3,5,"HENRY'S BIKES  (15 POLLY DRUMMOND SHOPPING CTR, NEWARK DE 19711) | 518101 (15  POLLY DRUMMOND SHOPPING CTR, NEWARK DE 19711) | HENRYS BIKES (15 POLLY DRUMMOND SHOPPING CENTER, NEWARK DE 19711) | HENRY'S BIKES (15 POLLY DRUMMOND SHOPPING CTR, NEWARK DE 19711) | HENRY (15 POLLY DRUMMOND SHOPPING CTR, NEWARK DE 19711)"
THE BIKE SHOP,name,3,11,"825000 (39 S. TONGE ST, ORMOND BEACH FL 32174) | 816200 (125 E. KEMP AVE, WATERTOWN SD 57201) | 991000 (1002 NORTH CENTRAL EXPRESSWAY, RICHARDSON TX 75080) | THE BIKE SHOP 125 (125 E KEMP AVE, WATERTOWN SD 57201) | THE BIKE SHOP - COLUMBUS (3901-D MILLER ROAD, COLUMBUS GA 31909) | BIKE SHOP (39 S. YONGE STREET, ORMOND BEACH FL 32174)"
BIKE STOP CAFE,name,3,5,"000870400 (701 SOUTH RIVERSIDE, SAINT CHARLES MO 63301) | BIKE STOP CAFE (701 S. RIVERSIDE, SAINT CHARLES MO 63301) | BIKE STOP (701 S. RIVERSIDE, SAINT CHARLES MO 63301) | THE BIKE STOP CAFE (701 S. RIVERSIDE, SAINT CHARLES MO 63301) | BIKES STOP  (701 S. RIVERSIDE, SAINT CHARLES MO 63301)"
OTTAWA BIKE AND TRAIL,name,3,2,"713700 (130 SOUTH MAIN STREET, OTTAWA KS 66067) | 713701 (130 SOUTH MAIN STREET, OTTAWA KS 66067)"
BAY RIDGE BIKES,name,3,2,"425700 (9124 4TH AVENUE, BROOKLYN NY 11209) | BAY RIDGE BIKES (9124 4TH AVE, BROOKLYN NY 11209)"
MR. BILL'S BICYCLE,name,2,2,"MR. BILLS BICYCLE (107 EAST BROAD STREET, PALMYRA NJ 08065) | MR BILL (107 EAST BROAD STREET, PALMYRA NJ 08065)"
Dave's Bike Shop,name,2,3,"801300 (367 WEST BROADWAY, IDAHO FALLS ID 83402) | DAVE'S (367 W. BROADWAY, IDAHO FALLS ID 83402) | DAVE'S BIKE SHOP (367 W BROADWAY, IDAHO FALLS ID 83402)"
RICHWAGEN BICYCLE INC,name,2,2,"999292000 (298 N.E. 6TH AVENUE, DELRAY BEACH FL 33483) | RICHWAGEN (298 N.E. 6TH AVENUE, Delray Beach FL 33483)"
"AROUND TOWN BICYCLES, INC",name,2,2,"AROUND TOWN BICYCLES, INC (59 N MAIN STREET, WILKES-BARRE PA 18701) | 258600 (59 N MAIN STREET, REAR, WILKES-BARRE PA 18701)"
Lowe riders action sports,name,2,2,"1078800 (300 EAST LANCASTER AVENUE, DOWINGTON PA 19335) | LOWE RIDERS (300 E. LANCASTER AVENUE, DOWNINGTOWN PA 19335)"
VERN & SONNY'S BIKE AND SNOW,name,2,2,"989000 (3031 W. ARMITAGE AVE, CHICAGO IL 60647) | VERN & SONNY'S (3031 W. ARMITAGE AVENUE, CHICAGO IL 60647)"
CYCLE CONNECTION,name,2,3,"2777900 (2455 FORT STREET, WYANDOTTE MI 48192) | 277900 (2455 FORT STREET, WYANDOTTE MI 48192) | CYCLE CONNECTION (2455 FORT STREET, WYANDOTTE MI 48192)"
SCHLABACH'S BIKE SHOP LLC,name,2,2,"SCHLABACH (1061 E COLUMBIA ST, ARTHUR IL 61911) | 806500 (1061 E. COLUMBIA ST, ARTHUR IL 61911)"
SUNSHINE BIKE SHOP,name,2,3,"831300 (1926 E SUNSHINE STREET, SPRINGFIELD MO 65804) | 831301 (1248 E ATLANTIC STREET - DOOR 2, SPRINGFIELD MO 65803) | SUNSHINE BIKE SHOP (1926 E SUNSHINE STREET, SPRINGFIELD MO 65804)"
PEDALLER BIKE SHOP,name,2,2,"PEDALLER (801 W. MAIN STREET, LANSDALE PA 19446) | 839200 (801 W. Main Street, Landsdale PA 19446)"
BARBARAS BIKE&SPORTS EQUIPMENT,address,2,2,"BARBARAS BIKES&SPORTS EQU (430 ROUTE 134, SOUTH DENNIS MA 02660) | 97500 (430 ROUTE 134, SOUTH DENNIS MA 02660)"
EASTSIDE PEDAL PUSHERS,name,2,2,"EASTSIDE PEDAL PUSHERS (4607 BOLM ROAD, AUSTIN TX 78702) | 422000 (4607 BOLM ROAD, AUSTIN TX 78702)"
BETHANY BIKE SHOP,name,2,2,"1085500 (900 NORTH PENN AVENUE, BETHANY BEACH DE 19930) | BETHANY (900 N. PENN AVENUE, BETHANY BEACH DE 19930)"
PEARSON'S BIKE SHOP,name,2,2,"PEARSON'S BIKE SHOP (164 SO 5TH ST, HUGHESVILLE PA 17737) | 1112600 (164 S. 5TH STREET, HUGHESVILLE PA 17737)"
SCOTT'S CYCLE AND SPORTS,name,2,3,"724200 (110 EAST HIGHLAND, HERMISTON OR 97838) | SCOT (110 EAST HIGHLAND, HERMISTON OR 97838) | SCOTT'S CYCLE & SPORTS (704 ELY HWY 395, KENNEWICK WA 99336)"
GREENWAY BIKEHOUSE,name,2,2,"GREENWAY BIKEHOUSE (417 RIDGE RD, MUNSTER IN 46321) | 542500 (18418 WENTWORTH AVE - SUITE 1, LANSING IL 60438)"
PURE ENERGY CYCLING & JAVA HOU,zip+token,2,3,"PURE ENERGY CYCLING & JAV (201 SOUTH MAIN ST, LAMBERTVILLE NJ 08530) | PURE (99 SOUTH MAIN STREET, LAMBERTVILLE NJ 08530) | PURE ENERGY (99 SOUTH MAIN ST, LAMBERTVILLE NJ 08530)"
SUNSET CYCLERY INC,name,2,7,"SUNSET 9901 (9901 WATSON RD, SAINT LOUIS MO 631261855) | 162301 (9901 WATSON RD - SUITE 153, CRESTWOOD MO 63126) | SUNSET CYCLERY (62 FOUR SEASONS SHOPPING CTRE, CHESTERFIELD MO 63017) | SUNSET CYCLERY INC (9901 WATSON ROAD, CRESTWOOD MO 63126) | SUNSET (10748 SUNSET PLAZA, SUNSET HILLS MO 63127) | SUNSET 10748 (10748 SUNSET PLAZA, SUNSET HILLS MO 63127)"
TUCKAHOE BIKE SHOP,name,2,4,"TUCKAHOE BIKE SHOP (2151 ROUTE 50, WOODBINE NJ 08270) | TUCKAHOE (1235 WEST AVENUE, OCEAN CITY NJ 08226) | 38600 (2151 ROUTE 50, WOODBINE NJ 08270) | 1038600 (2151 ROUTE 50, WOODBINE NJ 08270)"
ALLIS BIKE & FITNESS,name,2,3,"ALLIS (9622 W NATIONAL AVE, WEST ALLIS WI 53227) | ALLIS BIKE AND FITNESS (9622 W NATIONAL AVE, WEST ALLIS WI 53227) | 689200 (9622 W NATIONAL AVE, WEST ALLIS WI 53227)"
TERRYS BIKE HAUS,address,2,2,"661900 (9828 WEST 55TH STREET, COUNTRYSIDE IL 60525) | TERRYS (9828 W 55TH ST, COUNTRYSIDE IL 60525)"
LOVE AND BICYCLES LLC,name,2,2,"LOVE AND BICYCLES (340 IRON STREET, NEGAUNEE MI 49866) | 688000 (340 IRON STREET, NEGAUNEE MI 49866)"
OCEAN BEACH HARDWARE,name,2,2,"OCEAN BEACH HARDWARE (C/O FIRES ISLAND FERRIES, BAY SHORE NY 11706) | 780001 (99 MABEL AVENUE, BAY SHORE NY 11706)"
JIM'S BICYCLE SHOP,name,2,2,"1161000 (8015 PLAINFIELD ROAD, CINCINNATI OH 45236) | JIM'S (8015 PLAINFIELD ROAD, CINCINNATI OH 45236)"
PEDAL & PADDLE LTD,name,2,2,"PEDAL & PADDLE (411 S PIERRE ST, PIERRE SD 57501) | 832500 (411 S. PIERRE ST, PIERRE SD 57501)"
ECLECTIC BIKES LLC,name,2,2,"881000 (823 COMMERCIAL, EMPORIA KS 66801) | ECLECTIC BIKES LLC. (823 COMMERCIAL, EMPORIA KS 66801)"
HIGHLANDER BIKE SHOP,name,2,3,"HIGHLANDER BIKE SHOP  (3333 highland drive, SALT LAKE CITY UT 84106) | 530400 (3333 HIGHLAND DRIVE, SALT LAKE CITY UT 84106) | HIGHLANDER BIKE SHOP (3333 HIGHLAND DRIVE, SALT LAKE CITY UT 84106)"
ELEMENT SPORTS,name,2,2,"ELEMENT SPORTS (2009 S. LOUDOUN STREET, WINCHESTER VA 22601) | 459900 (2009 S. LOUDOUN STREET, WINCHESTER VA 22601)"
PADIS PEDAL POWER,name,2,4,"PADIS PEDAL POWER (1177 FISHER BLVD, TOMS RIVER NJ 08753) | 807100 (1177 FISHER BLVD., TOMS RIVER NJ 08753) | PADIS  (1177 FISHER BLVD, TOMS RIVER NJ 08753) | PADIS (1177 FISHER BLVD., TOMS RIVER NJ 08753)"
NORTH PORTLAND BIKEWORKS,name,2,2,"NORTH PORTLAND (700 N KILLINGSWORTH ST, PORTLAND OR 97217) | 768500 (700 N. KILLINGSWORTH ST, Portland OR 97217)"
THE COSMIC WHEEL,name,2,3,"COSMIC WHEEL (184 main st, RIDGEFIELD PARK NJ 07660) | 258500 (184 MAIN STREET, RIDGEFIELD PARK NJ 07660) | THE COSMIC (184 MAIN STREET, RIDGEFIELD PARK NJ 07660)"
BOB'S BIKE SHOP,name,2,3,"BOB'S BIKE SHOP (3855 RIDGEWOOD AVENUE, PORT ORANGE FL 32129) | BOB'S  (3855 Ridgewood Ave, PORT ORANGE FL 32129) | 1227900 (3855 Ridgewood Avenue, Port Orange FL 32129)"
ADI'S BIKE WORLD,name,2,3,"ADI'S BIKE WORLD  (1754 CENTRE STREET, WEST ROXBURY MA 02132) | ADI'S (1754 CENTRE STREET, WEST ROXBURY MA 02132) | ADI'S BICYCLE WORLD (1754 CENTRE STREET, BOSTON MA 02132)"
ISLAND BIKE COMPANY,name,2,2,"672100 (25 OLD SOUTH ROAD, NANTUCKET MA 02554) | ISLAND BIKE COMPANY (25 OLD SOUTH ROAD, NANTUCKET MA 02554)"
WYCKOFF CYCLE LLC,name,2,3,"WYCKOFF (396 FRANKLIN AVENUE, WYCKOFF NJ 07481) | 603400 (396 FRANKLIN AVE, WYCKOFF NJ 07481) | WYCKOFF CYCLE  (396 FRANKLIN AVE, WYCKOFF NJ 07481)"
DANNY'S CYCLE,name,2,5,"DANNY'S CYCLE (113 WOLF'S LANE, PELHAM NY 10803) | DANNYS CYCLE (396 MAIN STREET, NEW ROCHELLE NY 10801) | DANNYYS CYCLE -NY (644 CENTRAL PARK AVENUE, SCARSDALE NY 10583) | DANNY'S BICYCLE (1950 BOSTON POST ROAD, DARIEN CT 06820) | DANNY C (1922 E MAIN STREET, MOHEGAN LAKE NY 10547)"
MAD DOG BICYCLES,name,2,5,"1008101 (561 DELAWARE AVENUE, DELMAR NY 12054) | MAD DOG BICYCLES (561 DELAWARE AVENUE, DELMAR NY 12054) | MAD DOG (561 DELAWARE AVE, DELMAR NY 12054) | MAD DOG  (561 DELAWARE AVE, DELMAR NY 12054) | MAD DOG 561 (561 DELAWARE AVENUE, DELMAR NY 12054)"
FULL CIRCLE CYCLE SHOP,name,2,2,"460600 (318 SOUTH CHELON AVENUE, WENATCHEE WA 98801) | FULL CIRCLE CYCLE SHOP (318 SOUTH CHELON AVENUE, WENATCHEE WA 98801)"
YOUR BIKE SHOP,name,2,2,"000759900 (51 COLE STREET, WARREN RI 02885) | 759900 (51 COLE STREET, WARREN RI 02885)"
SMALL SHOP CHICAGO LLC,name,2,3,"SMALL (4250 S. COTTAGE GROVE AVENUE, CHICAGO IL 60653) | 1008000 (4250 S. COTTAGE GROVE AVENUE, CHICAGO IL 60653) | SMALL SHOP (4250 S. COTTAGE GROVE AVENUE, CHICAGO IL 60653)"
ROAD & TRAIL BICYCLES,address,2,4,"980101 (5113 US HWY 98 SOUTH, LAKELAND FL 33812) | ROAD & TRAIL (5113 US HWY 98 SOUTH, LAKELAND FL 33812) | ROAD AND TRAIL (5113 US HWY 98 SOUTH, LAKELAND FL 33812) | RUNNING (5113 US Hwy 98 South, Lakeland FL 33812)"
MORRISSEY CYCLES,address,2,4,"NIANTIC BAY (8 METHODIST STREET, NIANTIC CT 06357) | NIANTIC (8 METHODIST STREET, NIANTIC CT 06357) | 1220600 (8 METHODIST STREET, NIANTIC CT 06357) | NIANTIC BAY BICYCLES (8 METHODIST STREET, NIANTIC CT 06357)"
GUYS BICYCLE SHOP,name,2,3,"GUYS BICYCLE SHOP (7203 ROUTE 20, MADISON NY 13402) | GUYS BICYCLE (7203 ROUTE 20, MADISON NY 13402) | 501300 (7203 ROUTE 20, MADISON NY 13402)"
PEDAL PUSHER,name,2,6,"PEDAL PUSHER PA (3798 WALNUT STREET, HARRISBURG PA 17109) | 838000 (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL 3798 (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL PUSHERS-PA (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL PUSHER 3798 (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL PUSHER (3798 WALNUT STREET, HARRISBURG PA 17109)"
TUCKAHOE BIKE SHOP,name,2,4,"TUCKAHOE BIKE SHOP (2151 ROUTE 50, WOODBINE NJ 08270) | TUCKAHOE (1235 WEST AVENUE, OCEAN CITY NJ 08226) | 38600 (2151 ROUTE 50, WOODBINE NJ 08270) | 1038600 (2151 ROUTE 50, WOODBINE NJ 08270)"
THE CYKEL SHOP,name,2,2,"THE CYKEL SHOP (109 WEST CHICAGO STREET, COLDWATER MI 49036) | 835000 (109 WEST CHICAGO ST, COLDWATER MI 49036)"
SURF BUGGY INC,name,2,2,"1099500 (3801 Long Beach Blvd, Brant Beach NJ 08008) | SURF BUGGY (1414 LONG BEACH BLVD, SURF CITY NJ 08008)"
CADENCE BIKE SHOP,name,2,2,"267500 (10044 BRUCEVILLE RD STE 160, ELK GROVE CA 95757) | CADENCE BIKE SHOP (10044 BRUEVILLE RD, ELK GROVE CA 95757)"
OTTO'S BICYCLE REPAIR,name,2,2,"OTTO'S BICYCLE REPAIR (3650 N STATE ROAD FIVE, SHIPSHEWANA IN 46565) | 718000 (8275 W 450 N, SHIPSHEWANA IN 46565)"
MENDON CYCLE SMITH,name,2,3,"MENDON CYCLE SMITH (1943 COUNTY ROAD 14, IONIA NY 14475) | 799101 (1943 COUNTY ROAD 14, IONIA NY 14475) | MENDON NY (1943 COUNTY ROAD 14, IONIA NY 14475)"
DAVE'S BIKE SHOP,name,2,3,"801300 (367 WEST BROADWAY, IDAHO FALLS ID 83402) | DAVE'S (367 W. BROADWAY, IDAHO FALLS ID 83402) | DAVE'S BIKE SHOP (367 W BROADWAY, IDAHO FALLS ID 83402)"
HUB CITY CYCLES,name,2,2,"946000 (501 JEFFERSON STREET, LAFAYETTE LA 70501) | HUB CITY CYCLES (501 JEFFERSON STREET, LAFAYETTE LA 70501)"
SMALL SHOP CHICAGO LLC,name,2,3,"SMALL (4250 S. COTTAGE GROVE AVENUE, CHICAGO IL 60653) | 1008000 (4250 S. COTTAGE GROVE AVENUE, CHICAGO IL 60653) | SMALL SHOP (4250 S. COTTAGE GROVE AVENUE, CHICAGO IL 60653)"
COUNTRY ROAD BIKE SHOP,name,2,2,"COUNTRY ROAD (446 N PERRY CREEK ROAD, MIO MI 48647) | COUNTRY ROAD BIKE SHOP (446 N PERRY CREEK ROAD, MIO MI 48647)"
MOON ROCK OUTFITTERS,name,2,2,"MOON ROCK OUTFITTERS (313 N MAIN STREET, ROSWELL NM 88201) | 7260 (313 N MAIN STREET, ROSWELL NM 88201)"
FREDONIA CYCLING LLC,name,2,2,"474500 (8 PARK PLACE, FREDONIA NY 14063) | FREDONIA CYCLING (8 PARK PLACE, FREDONIA NY 14063)"
DASH BICYCLE SHOP,name,2,3,"DASH (228 BROADWAY, PROVIDENCE RI 02903) | 720900 (228 BROADWAY, PROVIDENCE RI 02903) | DASH BICYCLE SHOP (228 BROADWAY, PROVIDENCE RI 02903)"
